x,y,u
0.228963,0.00391389,-0.000118086
0.23092,0.00391389,-0.000118384
0.232877,0.00391389,-0.000118672
0.234834,0.00391389,-0.000118951
0.236791,0.00391389,-0.00011922
0.238748,0.00391389,-0.000119481
0.240705,0.00391389,-0.000119733
0.242661,0.00391389,-0.000119977
0.244618,0.00391389,-0.000120211
0.246575,0.00391389,-0.000120437
0.248532,0.00391389,-0.000120655
0.250489,0.00391389,-0.000120864
0.252446,0.00391389,-0.000121065
0.254403,0.00391389,-0.000121258
0.25636,0.00391389,-0.000121443
0.258317,0.00391389,-0.00012162
0.260274,0.00391389,-0.000121789
0.262231,0.00391389,-0.00012195
0.264188,0.00391389,-0.000122104
0.266145,0.00391389,-0.00012225
0.268102,0.00391389,-0.000122389
0.270059,0.00391389,-0.000122521
0.272016,0.00391389,-0.000122645
0.273973,0.00391389,-0.000122762
0.27593,0.00391389,-0.000122873
0.277886,0.00391389,-0.000122976
0.279843,0.00391389,-0.000123073
0.2818,0.00391389,-0.000123163
0.283757,0.00391389,-0.000123246
0.285714,0.00391389,-0.000123323
0.287671,0.00391389,-0.000123394
0.289628,0.00391389,-0.000123458
0.291585,0.00391389,-0.000123516
0.293542,0.00391389,-0.000123569
0.295499,0.00391389,-0.000123615
0.297456,0.00391389,-0.000123655
0.299413,0.00391389,-0.00012369
0.30137,0.00391389,-0.000123719
0.303327,0.00391389,-0.000123743
0.305284,0.00391389,-0.000123761
0.307241,0.00391389,-0.000123774
0.309198,0.00391389,-0.000123782
0.311155,0.00391389,-0.000123785
0.313112,0.00391389,-0.000123782
0.315068,0.00391389,-0.000123775
0.317025,0.00391389,-0.000123763
0.318982,0.00391389,-0.000123747
0.320939,0.00391389,-0.000123726
0.322896,0.00391389,-0.0001237
0.324853,0.00391389,-0.00012367
0.32681,0.00391389,-0.000123636
0.328767,0.00391389,-0.000123598
0.330724,0.00391389,-0.000123555
0.332681,0.00391389,-0.000123509
0.334638,0.00391389,-0.000123459
0.336595,0.00391389,-0.000123405
0.338552,0.00391389,-0.000123347
0.340509,0.00391389,-0.000123286
0.342466,0.00391389,-0.000123222
0.344423,0.00391389,-0.000123154
0.34638,0.00391389,-0.000123083
0.348337,0.00391389,-0.000123008
0.350294,0.00391389,-0.000122931
0.35225,0.00391389,-0.00012285
0.354207,0.00391389,-0.000122767
0.356164,0.00391389,-0.000122681
0.358121,0.00391389,-0.000122592
0.360078,0.00391389,-0.000122501
0.362035,0.00391389,-0.000122407
0.363992,0.00391389,-0.000122311
0.365949,0.00391389,-0.000122212
0.367906,0.00391389,-0.000122112
0.369863,0.00391389,-0.000122009
0.37182,0.00391389,-0.000121904
0.373777,0.00391389,-0.000121797
0.375734,0.00391389,-0.000121688
0.377691,0.00391389,-0.000121577
0.379648,0.00391389,-0.000121465
0.381605,0.00391389,-0.000121351
